Year,METEOROLOGICAL DROUGHT,HYDROLOGICAL DROUGHT,AGRICULTURAL DROUGHT,AREA UNDER CULTIVATION(PADDY),YIELD(PADDY),EFFECTIVE YIELD(PADDY),AREA UNDER CULTIVATION(MAIZE),YIELD(MAIZE),EFFECTIVE YIELD(MAIZE),AREA UNDER CULTIVATION(CEREALS),YIELD(CEREALS),EFFECTIVE YIELD(CEREALS)
1966,-0.5,0.85,0.41,25689,76320,2.97092140604928,1278,1256,0.982785602503912,56818,102720,1.80787778520891
1967,1.62,0.44,1.54,42921,130215,3.03382959390508,1134,1670,1.47266313932981,80842,175910,2.17597288538136
1968,-1.69,-0.01,0.17,29467,71580,2.42915804119863,1323,1060,0.801209372637944,56649,99762,1.76105491712122
1969,0.13,0.47,0.52,36136,114560,3.1702457383219,1178,1380,1.17147707979626,66268,154590,2.3328001448663
1970,0.12,-1.09,-0.62,25682,123490,4.80842613503621,854,864,1.01170960187354,69157,167526,2.4224012030597
1971,0.11,-0.56,0.12,39684,47256,1.19080737828848,1312,1564,1.19207317073171,45231,84540,1.86907209657094
1972,0.87,0.01,0.99,37568,108230,2.88090928449744,1395,2764,1.98136200716846,58342,156110,2.6757738850228
1973,0.87,0.11,1.04,40117,169090,4.21492135503652,1343,2545,1.89501116902457,61444,205260,3.34060282533689
1974,0.34,-1.08,-0.46,33244,87675,2.63731801227289,2797,5730,2.04862352520558,54575,116736,2.13900137425561
1975,-1.46,1.11,-0.44,25420,75840,2.98347757671125,2712,5145,1.89712389380531,36745,74740,2.0340182337733
1976,0.31,-1.08,0.39,29305,81890,2.79440368537792,2161,4390,2.03146691346599,61771,123670,2.00207216978841
1977,0.79,-0.27,-0.29,29208,105240,3.60312243221035,2863,4720,1.64862032832693,57234,144040,2.51668588601181
1978,1.15,0.31,1.66,37067,155876,4.20524995278819,3150,6370,2.02222222222222,62362,184876,2.96456175234919
1979,-1.03,-0.53,-1.12,30155,114070,3.78278892389322,5601,11323,2.02160328512766,57875,151730,2.62168466522678
1980,-0.55,1.04,0.12,26014,98060,3.76950872607058,6265,12661,2.02090981644054,63612,104534,1.64330629440986
1981,0.05,0.94,-0.47,29323,92270,3.14667667019064,5405,12881,2.3831637372803,51490,103948,2.01879976694504
1982,0.53,-0.23,-0.19,31607,93662,2.96333090771032,6756,18011,2.66592658377738,51058,118396,2.31885306905872
1983,-0.66,-0.67,-0.52,30139,74976,2.48767377816119,7629,17077,2.23843229781098,47270,102727,2.17319653056907
1984,-0.11,-0.01,0.12,29713,86992,2.92774206576246,8236,16463,1.99890723652258,62019,119323,1.9239749109144
1985,-0.49,1.14,-0.31,27828,61240,2.20066120454219,921,673,0.730727470141151,61907,97230,1.57058167897007
1986,0.5,2.19,0.05,29489,92620,3.14083217470921,1278,1160,0.907668231611894,66818,103320,1.54628992187734
1987,1.93,-0.05,2.13,42921,130200,3.0334801146292,1634,1571,0.961444308445532,80842,175910,2.17597288538136
1988,-1.23,-0.15,-1.46,29267,71580,2.44575802097926,873,872,0.998854524627721,55649,99890,1.79500080863987
1989,0.42,-0.39,0.54,36136,111250,3.0786473323002,1078,1280,1.1873840445269,66268,151190,2.28149333011408
1990,0.91,0.02,0.53,36782,123490,3.35734870317003,1254,1160,0.925039872408293,69108,167520,2.42403194999132
1991,-0.96,-0.64,-1.06,21684,47200,2.17672016233167,812,1700,2.0935960591133,45231,84540,1.86907209657094
1992,0.16,0.8,0.59,34268,108690,3.17176374460138,1395,2760,1.97849462365591,58992,145110,2.45982506102522
1993,0.82,0.18,1.14,40117,169090,4.21492135503652,1303,2570,1.97237145049885,61444,205260,3.34060282533689
1994,-0.85,0.52,-1.07,36744,87080,2.36991073372523,2797,5730,2.04862352520558,57575,116740,2.02761615284412
1995,-0.44,1.6,-0.59,17420,16840,0.966704936854191,2512,5120,2.03821656050955,36745,34740,0.945434753027623
1996,-0.58,1,0.08,28905,81890,2.83307386265352,2161,4390,2.03146691346599,52771,117670,2.22982319834758
1997,1.38,-0.32,1.35,36208,112240,3.09986743261158,2543,5120,2.01337003539127,57234,144040,2.51668588601181
1998,1.89,-0.13,2.25,37067,155040,4.18269619877519,3150,6370,2.02222222222222,58362,184870,3.16764332956376
1999,0.21,-1.07,-0.03,32555,131070,4.02610966057441,5601,11380,2.0317800392787,57875,168730,2.9154211663067
2000,-2.26,-0.16,-0.69,26014,73060,2.80848773737218,6245,12661,2.02738190552442,51612,104534,2.02538169417965
2001,1.08,-0.81,0.64,29388,92270,3.13971689124813,6905,13981,2.02476466328747,51490,122948,2.38780345698194
2002,-0.71,-0.81,-0.85,31607,86662,2.74186098016262,8899,18011,2.02393527362625,55058,118396,2.1503868647608
2003,-1.32,0.46,-1.32,24139,43976,1.82178217821782,8429,17077,2.02598172974256,47270,74727,1.58085466469219
2004,-0.76,1.72,-0.42,29713,86992,2.92774206576246,8236,16693,2.02683341427878,57019,119343,2.09303916238447
2005,0.59,0.75,0.68,30776,98482,3.19996100857811,11186,13692,1.22403003754693,59296,129273,2.18013019427955
2006,0.64,-2.03,0.29,32735,158214,4.83317550022911,13293,71841,5.4044233807267,59748,255131,4.27011782821182
2007,0.69,-0.39,0.16,28214,93093,3.29953214716098,13246,69618,5.25577532840103,56723,179411,3.16293214392751
2008,-0.2,-1.12,0.05,32497,104587,3.21835861771856,16466,76838,4.66646422932103,64378,204625,3.17849265276958
2009,-1.28,-0.81,-1.61,26617,64716,2.43137844234887,13868,50337,3.62972310354774,54098,130949,2.4205885614995
2010,1.64,-0.91,1.74,30568,94515,3.09195891127977,10775,55456,5.14672853828306,55908,171209,3.06233454961723
2011,0.75,-1.69,0.43,29658,118469,3.99450401240812,17206,113243,6.5815994420551,60139,249614,4.15061773557924
2012,-0.36,-1.25,-0.89,22973,40467,1.76150263352631,23483,52304,2.22731337563344,61614,107393,1.74299672152433
